img,idx_label,RGB.ROI_20.redDN,RGB.ROI_20.greenDN,RGB.ROI_20.blueDN,RGB.ROI_20.2G_RBi,RGB.ROI_20.pctR,RGB.ROI_20.pctG,RGB.ROI_20.pctB,RGB.ROI_20.nNDVI,RGB.ROI_20.totalRGB,RGB.ROI_20.AnyColor,RGB.ROI_22.redDN,RGB.ROI_22.greenDN,RGB.ROI_22.blueDN,RGB.ROI_22.2G_RBi,RGB.ROI_22.pctR,RGB.ROI_22.pctG,RGB.ROI_22.pctB,RGB.ROI_22.nNDVI,RGB.ROI_22.totalRGB,RGB.ROI_22.AnyColor
2022 06 29 18 05 12.JPG, 288,188.528353,164.704700,98.558084,42.322964,0.417291,0.364559,0.218150,-0.067445,451.791137,-156.116886,182.897918,161.536716,96.730996,43.444518,0.414579,0.366159,0.219262,-0.062018,441.165630,-150.972642
2022 06 30 05 00 01.JPG, 289,154.953331,165.662267,144.220081,32.151121,0.333351,0.356389,0.310260,0.033401,464.835679,-32.175436,182.101693,183.284998,145.403002,39.065301,0.356510,0.358827,0.284663,0.003239,510.789693,-74.580686
2022 06 30 06 00 00.JPG, 290,163.970752,168.492851,136.736149,36.278802,0.349469,0.359107,0.291424,0.013602,469.199752,-58.991306,178.629850,180.048724,140.156180,41.311418,0.358094,0.360939,0.280967,0.003956,498.834754,-78.366214
2022 06 30 07 00 00.JPG, 291,160.255171,161.351654,134.991441,27.456696,0.350976,0.353378,0.295646,0.003409,456.598267,-51.623942,187.196410,182.235028,143.831802,33.441843,0.364718,0.355052,0.280230,-0.013430,513.263240,-81.767834
2022 06 30 08 00 00.JPG, 292,188.040174,179.361784,137.841092,32.842302,0.372178,0.355001,0.272821,-0.023621,505.243050,-91.719773,171.161768,167.171074,128.305490,34.874888,0.366797,0.358245,0.274957,-0.011795,466.638332,-81.721861
2022 06 30 09 00 00.JPG, 293,196.714887,182.808482,135.543910,33.358167,0.381921,0.354922,0.263158,-0.036642,515.067279,-108.435549,184.221290,174.325561,123.667396,40.762436,0.382032,0.361511,0.256457,-0.027600,482.214248,-111.212058
2022 06 30 10 00 01.JPG, 294,192.497268,176.836188,129.009446,32.165663,0.386275,0.354848,0.258877,-0.042404,498.342902,-111.314564,184.704973,170.821311,117.385575,39.552074,0.390570,0.361212,0.248219,-0.039051,472.911859,-120.755135
2022 06 30 11 00 00.JPG, 295,188.852912,171.162289,123.932974,29.538691,0.390234,0.353679,0.256087,-0.049139,483.948175,-112.149251,182.304526,164.988779,112.161249,35.511783,0.396785,0.359097,0.244118,-0.049859,459.454554,-122.970808
2022 06 30 12 00 00.JPG, 296,180.759866,165.066894,117.900264,31.473658,0.389798,0.355957,0.254245,-0.045378,463.727025,-110.026233,174.282503,157.497351,104.820372,35.891827,0.399181,0.360736,0.240083,-0.050591,436.600227,-122.139110
2022 06 30 13 00 01.JPG, 297,180.721003,165.858575,120.370892,30.625254,0.387024,0.355195,0.257781,-0.042883,466.950469,-105.837793,183.924747,166.555560,112.164821,37.021552,0.397550,0.360007,0.242442,-0.049558,462.645128,-126.150664
2022 06 30 14 00 00.JPG, 298,158.640402,148.062370,108.414377,29.069960,0.382158,0.356676,0.261166,-0.034490,415.117149,-89.874018,183.360618,165.687691,110.910913,37.103851,0.398645,0.360223,0.241132,-0.050632,459.959223,-127.226483
2022 06 30 15 00 01.JPG, 299,181.065262,159.902352,105.162557,33.576885,0.405857,0.358421,0.235722,-0.062067,446.130171,-130.642501,187.721987,163.517537,103.612370,35.700718,0.412710,0.359496,0.227794,-0.068912,454.851893,-144.014784
2022 06 30 16 00 00.JPG, 300,185.584012,161.778591,105.788309,32.184862,0.409541,0.357008,0.233451,-0.068532,453.150912,-135.785986,190.671257,164.234165,103.630340,34.166733,0.415826,0.358171,0.226003,-0.074491,458.535761,-147.644742
2022 06 30 17 00 00.JPG, 301,196.959875,159.967730,96.414473,26.561111,0.434462,0.352863,0.212675,-0.103640,453.342078,-164.098659,198.613415,160.345429,94.320150,27.757294,0.438170,0.353746,0.208084,-0.106608,453.278994,-170.318544
2022 06 30 18 00 01.JPG, 302,204.939481,158.635073,88.516157,23.814508,0.453315,0.350892,0.195793,-0.127359,452.090711,-186.542241,206.401438,159.088537,87.665440,24.110196,0.455476,0.351068,0.193456,-0.129451,453.155415,-190.159096
2022 07 01 05 00 00.JPG, 303,199.641420,163.816768,103.290685,24.701432,0.427728,0.350974,0.221298,-0.098566,466.748873,-156.876819,201.921469,164.577198,97.424606,29.808322,0.435248,0.354751,0.210002,-0.101895,463.923273,-171.649454
2022 07 01 06 00 00.JPG, 304,194.230333,163.905256,110.551639,23.028541,0.414414,0.349711,0.235875,-0.084675,468.687227,-137.032311,196.613784,166.134680,106.755419,28.900157,0.418769,0.353852,0.227379,-0.084023,469.503883,-149.237626
2022 07 01 07 00 01.JPG, 305,190.226049,164.840899,109.494390,29.961358,0.409475,0.354831,0.235694,-0.071494,464.561337,-136.078168,193.880114,168.380930,105.673597,37.208150,0.414332,0.359839,0.225830,-0.070389,467.934641,-150.913849
2022 07 01 08 00 00.JPG, 306,192.667872,165.844650,112.485282,26.536145,0.409063,0.352113,0.238823,-0.074818,470.997805,-133.541957,192.191909,167.094531,108.483786,33.513366,0.410868,0.357215,0.231917,-0.069853,467.770226,-142.318868
2022 07 01 09 00 00.JPG, 307,193.643870,166.945894,111.115307,29.132611,0.410519,0.353920,0.235561,-0.074040,471.705072,-138.359149,192.522368,167.859001,106.452691,36.742942,0.412400,0.359569,0.228031,-0.068437,466.834060,-147.475986
2022 07 01 10 00 01.JPG, 308,192.735744,166.285680,110.527803,29.307812,0.410470,0.354139,0.235391,-0.073673,469.549227,-137.965818,191.144575,166.437149,105.511163,36.218560,0.412756,0.359403,0.227840,-0.069096,463.092887,-146.559399
2022 07 01 11 00 00.JPG, 309,194.549564,166.635141,108.394844,30.325873,0.414306,0.354860,0.230834,-0.077286,469.579549,-144.395016,193.514913,166.416568,103.687640,35.630583,0.417401,0.358951,0.223648,-0.075288,463.619121,-152.556200
2022 07 01 12 00 01.JPG, 310,194.876453,165.360146,104.515838,31.328001,0.419312,0.355803,0.224885,-0.081936,464.752438,-151.204923,194.470813,165.253307,100.096784,35.939017,0.422927,0.359386,0.217686,-0.081222,459.820904,-159.530551
2022 07 01 13 00 00.JPG, 311,194.199336,164.451506,104.878175,29.825501,0.418958,0.354781,0.226260,-0.082944,463.529016,-148.894492,195.121865,164.666995,100.873554,33.338571,0.423568,0.357457,0.218975,-0.084647,460.662415,-158.041751
