img,idx_label,RGB.redDN,RGB.greenDN,RGB.blueDN,RGB.2G_RBi,RGB.pctR,RGB.pctG,RGB.pctB,RGB.nNDVI,RGB.totalRGB,RGB.AnyColor
2022 06 13 08 00 01.JPG, 51,180.959251,158.555177,83.714179,52.436924,0.427569,0.374632,0.197799,-0.065989,423.228607,-172.086070
2022 06 13 09 00 00.JPG, 52,184.135108,161.814981,89.758389,49.736465,0.422611,0.371384,0.206006,-0.064518,435.708477,-166.433310
2022 06 13 10 00 00.JPG, 53,179.979245,160.622202,86.348462,54.916696,0.421547,0.376209,0.202245,-0.056832,426.949909,-167.904522
2022 06 13 11 00 01.JPG, 54,170.889628,157.807682,88.115841,56.609895,0.409991,0.378605,0.211404,-0.039799,416.813150,-152.465628
2022 06 13 12 00 00.JPG, 55,181.563189,152.392602,78.773255,44.448760,0.439909,0.369232,0.190859,-0.087349,412.729046,-176.409282
2022 06 13 13 00 00.JPG, 56,179.881545,151.599159,79.603314,43.713459,0.437579,0.368779,0.193642,-0.085321,411.084018,-172.274076
2022 06 13 14 00 01.JPG, 57,170.010230,154.384320,85.382162,53.376247,0.414885,0.376752,0.208363,-0.048169,409.776712,-153.630225
2022 06 13 15 00 00.JPG, 58,166.063877,152.078096,82.360304,55.732012,0.414639,0.379718,0.205643,-0.043961,400.502277,-153.421366
2022 06 13 16 00 01.JPG, 59,164.813209,153.698300,86.097690,56.485702,0.407339,0.379869,0.212792,-0.034896,404.609199,-146.316129
2022 06 13 17 00 00.JPG, 60,173.528963,149.941048,75.906700,50.446433,0.434499,0.375438,0.190063,-0.072921,399.376711,-171.656610
2022 06 13 18 00 00.JPG, 61,160.893047,152.159041,92.495100,50.929934,0.396731,0.375194,0.228075,-0.027900,405.547188,-128.061887
2022 06 14 05 00 00.JPG, 62,160.984910,148.500943,88.544226,47.472750,0.404454,0.373090,0.222456,-0.040338,398.030079,-132.397402
2022 06 14 06 00 00.JPG, 63,169.016873,153.865134,89.892127,48.821268,0.409466,0.372759,0.217776,-0.046927,412.774134,-143.097753
2022 06 14 07 00 01.JPG, 64,174.449097,159.909057,85.058946,60.310071,0.415932,0.381265,0.202803,-0.043486,419.417100,-164.240262
2022 06 14 08 00 00.JPG, 65,175.695216,161.648372,94.136824,53.464705,0.407192,0.374637,0.218172,-0.041640,431.480412,-149.069940
2022 06 14 09 00 00.JPG, 66,182.580279,162.746025,85.653418,57.258354,0.423640,0.377619,0.198741,-0.057436,430.979721,-174.019469
2022 06 14 10 00 01.JPG, 67,181.719605,163.313983,88.677540,56.230821,0.418988,0.376550,0.204462,-0.053344,433.711129,-167.678508
2022 06 14 11 00 00.JPG, 68,177.371104,158.928621,86.391761,54.094377,0.419623,0.375992,0.204385,-0.054839,422.691486,-163.516202
2022 06 14 12 00 00.JPG, 69,177.385621,155.443989,80.173227,53.329129,0.429502,0.376375,0.194123,-0.065925,413.002837,-172.483155
2022 06 14 13 00 00.JPG, 70,162.617683,153.781073,82.313487,62.630976,0.407857,0.385694,0.206448,-0.027929,398.712242,-151.771782
2022 06 14 14 00 00.JPG, 71,167.282507,156.655118,83.675152,62.352576,0.410396,0.384323,0.205281,-0.032807,407.612778,-156.587320
2022 06 14 15 00 01.JPG, 72,177.995889,152.872865,73.585039,54.164803,0.440090,0.377974,0.181937,-0.075930,404.453793,-183.698676
2022 06 14 16 00 00.JPG, 73,171.829057,151.966358,74.631242,57.472417,0.431269,0.381416,0.187315,-0.061343,398.426657,-174.532932
2022 06 14 17 00 00.JPG, 74,173.175999,153.320814,78.582769,54.882860,0.427511,0.378496,0.193993,-0.060813,405.079582,-169.331275
2022 06 14 18 00 01.JPG, 75,165.288288,152.325878,81.532540,57.830927,0.414104,0.381629,0.204267,-0.040812,399.146706,-154.549085
2022 06 15 05 00 00.JPG, 76,183.598495,163.546315,89.886975,53.607159,0.420103,0.374221,0.205676,-0.057763,437.031786,-167.370860
2022 06 15 06 00 01.JPG, 77,179.287905,165.244919,87.600277,63.601654,0.414890,0.382394,0.202716,-0.040760,432.133101,-169.332269
2022 06 15 07 00 00.JPG, 78,185.184788,170.231870,88.065948,67.213004,0.417569,0.383852,0.198578,-0.042072,443.482605,-179.284762
