img,idx_label,RGB.ROI_02.redDN,RGB.ROI_02.greenDN,RGB.ROI_02.blueDN,RGB.ROI_02.2G_RBi,RGB.ROI_02.pctR,RGB.ROI_02.pctG,RGB.ROI_02.pctB,RGB.ROI_02.nNDVI,RGB.ROI_02.totalRGB,RGB.ROI_02.AnyColor,RGB.ROI_06.redDN,RGB.ROI_06.greenDN,RGB.ROI_06.blueDN,RGB.ROI_06.2G_RBi,RGB.ROI_06.pctR,RGB.ROI_06.pctG,RGB.ROI_06.pctB,RGB.ROI_06.nNDVI,RGB.ROI_06.totalRGB,RGB.ROI_06.AnyColor,RGB.ROI_09.redDN,RGB.ROI_09.greenDN,RGB.ROI_09.blueDN,RGB.ROI_09.2G_RBi,RGB.ROI_09.pctR,RGB.ROI_09.pctG,RGB.ROI_09.pctB,RGB.ROI_09.nNDVI,RGB.ROI_09.totalRGB,RGB.ROI_09.AnyColor
2022 06 23 05 00 00.JPG, 109,169.309682,159.996043,110.638821,40.043583,0.384843,0.363673,0.251484,-0.028283,439.944547,-108.028083,158.487134,161.001937,112.619427,50.897313,0.366776,0.372596,0.260628,0.007871,432.108498,-94.250217,161.347945,146.363270,97.208120,34.170475,0.398469,0.361463,0.240068,-0.048697,404.919335,-113.294976
2022 06 23 06 00 00.JPG, 110,179.004785,157.877614,95.452478,41.297965,0.414042,0.365174,0.220784,-0.062714,432.334877,-145.977443,170.219947,159.078250,96.413859,51.522694,0.399848,0.373676,0.226477,-0.033835,425.712057,-136.470479,170.498151,144.600184,82.444933,36.257284,0.428879,0.363734,0.207386,-0.082190,397.543269,-150.208469
2022 06 23 07 00 00.JPG, 111,178.845445,155.254674,96.542080,35.121823,0.415299,0.360519,0.224182,-0.070610,430.642199,-141.015959,174.659901,160.470070,98.597330,47.682909,0.402695,0.369979,0.227326,-0.042341,433.727300,-137.935311,171.015509,142.450968,82.643517,31.242910,0.431737,0.359625,0.208638,-0.091125,396.109993,-148.179442
2022 06 23 08 00 01.JPG, 112,179.045330,155.924601,95.341699,37.462173,0.416083,0.362353,0.221564,-0.069023,430.311629,-144.286533,173.984679,159.906550,96.916679,48.911742,0.403857,0.371178,0.224965,-0.042164,430.807908,-140.057870,171.246003,144.044025,81.841823,35.000223,0.431207,0.362711,0.206082,-0.086276,397.131850,-151.606382
2022 06 23 09 00 00.JPG, 113,172.385280,154.442488,98.720160,37.779536,0.405090,0.362926,0.231984,-0.054900,425.547928,-129.387448,167.961709,159.436284,100.718183,50.192676,0.392327,0.372414,0.235259,-0.026040,428.116176,-125.961628,164.289108,142.696053,86.091131,35.011868,0.417957,0.363024,0.219019,-0.070339,393.076292,-134.802899
2022 06 23 10 00 00.JPG, 114,168.441841,152.989043,100.653629,36.882617,0.399071,0.362461,0.238468,-0.048075,422.084513,-120.123627,166.586479,160.478906,103.219390,51.151944,0.387154,0.372960,0.239886,-0.018674,430.284775,-120.626605,167.940714,148.485234,93.145629,35.884125,0.410040,0.362538,0.227422,-0.061485,409.571577,-130.134689
2022 06 23 11 00 01.JPG, 115,169.694171,152.359981,97.407832,37.617958,0.404552,0.363227,0.232221,-0.053824,419.461984,-127.238487,164.957868,156.676458,98.725769,49.669279,0.392420,0.372720,0.234860,-0.025748,420.360094,-124.182788,163.137677,142.542706,87.440955,34.506780,0.414980,0.362592,0.222427,-0.067374,393.121338,-130.798472
2022 06 23 12 00 00.JPG, 116,164.262230,143.747391,85.295788,37.936765,0.417645,0.365485,0.216869,-0.066605,393.305409,-137.418046,164.794816,150.527390,86.626837,49.633126,0.409989,0.374494,0.215517,-0.045247,401.949043,-142.068531,144.914172,121.506232,67.917548,30.180743,0.433436,0.363423,0.203140,-0.087861,334.337952,-130.585307
2022 06 23 13 00 00.JPG, 117,164.723484,151.966506,99.353435,39.856093,0.395929,0.365266,0.238805,-0.040282,416.043425,-117.983120,164.687205,159.888906,102.186785,52.903822,0.385899,0.374655,0.239446,-0.014783,426.762897,-120.202541,146.052191,130.582544,83.116323,31.996574,0.405981,0.362980,0.231038,-0.055921,359.751057,-110.402089
2022 06 23 14 00 01.JPG, 118,162.332496,147.886485,98.231552,35.208922,0.397435,0.362067,0.240498,-0.046567,408.450532,-113.755876,164.853421,157.999019,101.248805,49.895813,0.388712,0.372550,0.238737,-0.021231,424.101245,-120.354831,140.570638,123.480806,77.958485,28.432489,0.411013,0.361045,0.227942,-0.064722,342.009929,-108.134474
